ce;a;
cette;a;
posture debout;addud;
entrer;adef;
permettre;aden;
être bas;ader;
diminuer;ader;
un;a;
le;a;
ô;a;
hé!;a;
nous irons;a;
nous partirons;a;
être haut;aälay;
prendre de la hauteur;aälay;
crâne;abbagh;
calotte crânienne;abbagh;
fumée;abbu;
remplir;acarh;
être rempli;acarh;
ongles;accaren;
griffes;accaren;
un peu;acemma;
combien;ach’al;
pourquoi;acimi;
aisselle;adext;
être malade;adhen;
tomber malade;adhen;
les raisins;adhil;
le rire;adhsa;
vent;adhu;
moelle;adif;
couvercle;adimt;
bouchon;adimt;
grossesse;adist;
ventre;adist;
veuf;adjjal;
beaucoup;adtas;
les yeux;adttiwin;
petit œil;adttuct;
maltraiter;adu;
laine;adudht;
phalange;aduft;
sur;af;
pour;af;
à caus;af;
parce que;acku;
quoi ?;acu;
pourquoi;acugher;
j’irai avec toi;ad;
lentille d’eau;adal;
mousse aquatique;adal;
le bas;adda;
le dessous;adda;
état - gram. -;addad;
village;addart;
le point le plus bas;adday;
le minimum;adday;
écurie;addaynin;
partie basse de la maison;addaynin;
réservée aux animaux domestiques;addaynin;
citer;adder;
poser un piège;addi;
trouver;af;
lumière;afat;
s'envoler;afeg;
voler;afeg;
enfoncer;afes;
tas;affa;
amas;affa;
meule -de foin ou de bois-;affa;
chiendent;affar;
action de voler;affug;
vol;affug;
H. phrase;afirt;
qques paroles;afirt;
vers;afirt;
déchets;afrasen;
résidus;afrasen;
les ailes;afriwen;
les feuilles - arbre -;afriwen;
soleil;afugt;
temps ensoleillé après la pluie;afugt;
soleil;afukt;
lumière du soleil;afukt;
cardes;aga;
avoir  peur;agad;
immobilité;agant;
inertie;agant;
cessation d’activité;agant;
grève;agant;
rester immobile;agen;
cesser une activité;agen;
fin;aggara;
terminaison;aggara;
croissant;aggur;
transport;aggway;
fait  de porter;aggway;
taon;aggwen;
nous;agh;
acheter;agh;
prendre;agh;
contracter;agh;
épouser;agh;
subir;agh;
chèvre;aghadht;
dureté;aghert;
être cher;aghlay;
être précieux;aghlay;
cuisse;aghma;
gorge;aghwect;
voix;aghwect;
chanson;aghwect;
ce;agi;
cette;agi;
ces;agi;
agini : voir ag;agini;
léopard;agiw;
fraternité;agmatt;
H. carapace;agra;
les nuages;agu;
croissant;agur;
ceinture;agus;
brume;agut;
brouillard;agut;
craindre;agwad;
avoir peur;agwad;
être en reste;agwar;
rester en plus;agwar;
surpasser;agwar;
puiser de l’eau;agwem;
action de puiser de l’eau;agwemt;
pelote;akurt;
boule;akurt;
charançon;akuz;
tous;akkw;
toutes;akkw;
avec;akkw;
marcher;akwel;
écraser du pied;akwel;
fouler;akwel;
piétiner;akwel;
vous;akwent;
fém.;akwent;
voler;akwer;
dérober;akwer;
se réveiller;akwi;
être éveillé;akwi;
akkwit : voir akk;akkwit;
fontaine;ala;
non;ala;
glaise;alaght;
argile;alaght;
naissance;alalt;
jusque;alarmi;
jusqu’à ce que;alarmi;
borne;alast;
limite;alast;
glaise;alaxt;
argile;alaxt;
plomb;aldun;
ourler;alem;
H. homme;ales;
répéter;ales;
reprendre;ales;
recommencer;ales;
raconter;ales;
commencer une série;ales;
monter;ali;
escalader;ali;
grimper;augmenter de volume -pâte-;ali;
refuser;agwi;
refus;agwit;
fait de refuser;agwit;
paille;alim;
foin;alim;
cerveau;allagh;
esprit;vase;allagh;
boue;allagh;
vas-y !;aha;
sans doute;ahaqel;
peut être;ahaqel;
peut être;ahat;
H. programme;ahil;
être corpulent;ajfay;
à toi;ak;
te;ak;
la terre;akal;
comme ça;akka;
de cette façon -à proximité du locuteur-;akka;
poussière;akka;
en deçà;akkad;
de ce côté ci;akkad;
à cette époque;akkadhani;
action de passer;akkay;
passage;akkay;
moyen;allal;
procédé;allal;
yeux;allen;
moment;époque;allit;
tamis;allumt;
recommencement;allus;
répétition;allus;
action de monter;alluy;
montée;alluy;
jusque;almi;
jusqu’à ce que;almi;
boue;aludh;
vase;aludh;
affaire importante;aluft;
épreuve;aluft;
être lent;alway;
ralentir;alway;
aller doucement;alway;
se détendre;alway;
être desserré;alway;
se desserrer;alway;
détente;alwit;
répit;alwit;
repos;paix;alwit;
sérénité;alwit;
comme;am;
tel;am;
telle;am;
te;am;
à cette époque;akkaymira;
Dal. entreprendre akkadhan;am;
comme ça;akken;
de telle façon -à proximité de l'interlocuteur-;akken;
par delà;akkin;
au-delà;akkin;
pellicules du cuir chevelu;akkwent;
mériter;aklal;
jumeaux;akniwen;
boule de neige;akur;
grosse pelote;bataille de boules de neige;akur;
que ce soit ... ou;ama;
côté;ama;
bord;ama;
un peu;amacemma;
eau;aman;
menton;amart;
barbe;amart;
regard;amawt;
remarque;amawt;
comme si;amecki;
aqliy;aql-;
aqliyi;aql-;
(comme si c’était vrai;aql-;
comment;amek;
miel;amemt;
croire;amen;
avoir la foi;amen;
des fois que;amer;
être sale;ames;
se salir;ames;
aborder;ami;
accoster;ami;
de peur de;ammar;
de crainte de;ammar;
lombes;ammas;
taille;ammas;
milieu;ammas;
être grave;amray;
être lourd;amray;
lent;amray;
Dal. mal de ventre;amur;
oui;anäam;
volontiers;anäam;
n’est-ce pas;anagh;
goûter;analt;
repas cuisiné;analt;
plume d’oiseau;anciw;
où;anda;
là où;anda;
tendre un piège;andi;
laisser;anef;
nous;anegh;
genévrier;aqqa;
colitrix - plante -;aqqa;
rossignol;aqqur;
faire défaut;aqu;
être rare;aqu;
jusqu'à;ar;
chez;ar;
à;ar;
crossette;ara;
branche de vigne;ara;
tige grimpante;ara;
génération;ara;
pas;ara;
brun;aras;
lavage;arda;
lessive;arda;
après;ardeqqal;
ensuite;ardeqqal;
finalement;ardeqqal;
dans un moment;ardeqqal;
tout à l’heure;ardeqqal;
de toute façon;ardmani;
en tous les cas;ardmani;
goûter;arem;
tester;arem;
essayer;arem;
enfanter;arew;
donner des fruits - arbre -;arew;
entraver;arez;
attacher;arez;
lier;arez;
êtr;arez;
être  divulgué;anew;
se lié;anew;
entravé;anew;
être humble;anez;
se soumettre - à Dieu -;anez;
mixture pour soigner;anfalen;
mieux;anghil;
mieux vaut...;anghil;
H. courant;angi;
où;ani;
scruter;ani;
épouiller;ani;
où;anida;
aire;annaren;
champ;annaren;
frelon;arezs;
guêpe;arezs;
rêve;argit;
rêver;argu;
attendre;arju;
gros  yeux;arquqen;
yeux  globuleux;arquqen;
les garçons;arrac;
les enfants;arraw;
enfantement;arrawt;
méthode;arrayt;
écrire;aru;
porc-épic;aruy;
descendance;arwa;
progéniture;arwa;
autant que;annect;
aussi ... que;annect;
quantité;annect;
humilité;annuz;
soumission - à Dieu -;annuz;
d'où;ansi;
qui;anta;
laquelle;anta;
qui;anti;
lesquelles;anti;
qui;anwa;
lequel;anwa;
qui;anwi;
lesquels;anwi;
rythme;anya;
cadence;anya;
gémissements répétés;anza;
incessants;anza;
le nez;anzaren;
